,n,range,value
333,20,"(0.665, 0.998]",0.06109811717809865
334,20,"(-0.000964, 0.333]",0.010108262474802957
335,20,"(-0.000964, 0.333]",0.03930677912012418
336,20,"(-0.000964, 0.333]",0.08029466391364856
337,20,"(-0.000964, 0.333]",0.0770662390283743
338,20,"(-0.000964, 0.333]",0.036501991080990406
339,20,"(-0.000964, 0.333]",0.036501991080990406
340,20,"(0.665, 0.998]",0.25770386426014175
341,20,"(0.665, 0.998]",0.1344354709087213
342,20,"(0.333, 0.665]",0.13288775145816845
343,20,"(0.333, 0.665]",0.0021722652844240737
344,20,"(0.333, 0.665]",0.0021722652844240737
345,20,"(0.333, 0.665]",0.004228966358038118
346,20,"(-0.000964, 0.333]",0.0005430361090335288
347,20,"(-0.000964, 0.333]",0.0005430361090335288
348,20,"(0.665, 0.998]",0.31108924913095504
349,20,"(0.333, 0.665]",0.3703682491203934
350,20,"(-0.000964, 0.333]",3.176843308193592e-09
351,20,"(-0.000964, 0.333]",0.12903557210591357
352,20,"(-0.000964, 0.333]",0.0770789480770232
353,20,"(-0.000964, 0.333]",0.03696746774304322
354,20,"(-0.000964, 0.333]",0.010339703799255084
355,20,"(-0.000964, 0.333]",0.013340089799456762
356,20,"(0.665, 0.998]",0.0001742820291438688
357,20,"(0.665, 0.998]",0.02634254542133144
358,20,"(0.665, 0.998]",0.0014975748379212348
359,20,"(-0.000964, 0.333]",0.05939310062530437
360,20,"(-0.000964, 0.333]",0.05939310062530437
361,20,"(-0.000964, 0.333]",0.05939310062530437
362,20,"(-0.000964, 0.333]",0.06619491649267127
363,20,"(-0.000964, 0.333]",0.06619491649267127
364,20,"(0.665, 0.998]",0.042813240521018
365,20,"(0.665, 0.998]",0.000922568713908345
366,20,"(0.665, 0.998]",0.010978043705979204
367,20,"(0.665, 0.998]",0.06754632926537453
368,20,"(0.665, 0.998]",0.01007394581507114
369,20,"(-0.000964, 0.333]",0.0003956078632835778
370,20,"(-0.000964, 0.333]",0.0003956078632835778
371,20,"(-0.000964, 0.333]",0.0003956078632835778
372,20,"(0.333, 0.665]",0.1451307330805033
373,20,"(-0.000964, 0.333]",0.04632831066299045
374,20,"(-0.000964, 0.333]",0.019548204213668215
375,20,"(-0.000964, 0.333]",0.0
376,20,"(-0.000964, 0.333]",0.01713675679509242
377,20,"(-0.000964, 0.333]",0.02412581488114927
378,20,"(-0.000964, 0.333]",0.023878681062985366
379,20,"(-0.000964, 0.333]",0.023254482996341398
380,20,"(0.665, 0.998]",1.21735344694561e-05
381,20,"(0.665, 0.998]",1.2016249228559353e-05
382,20,"(0.665, 0.998]",1.0330809590434993e-06
383,20,"(-0.000964, 0.333]",6.912606978943268e-05
384,20,"(-0.000964, 0.333]",0.006984332089574737
385,20,"(-0.000964, 0.333]",0.0051760507642650885
386,20,"(-0.000964, 0.333]",0.0014274369620323783
387,20,"(-0.000964, 0.333]",0.0013208227507588435
388,20,"(0.665, 0.998]",0.14402003275714623
389,20,"(0.333, 0.665]",0.0020722299545664264
390,20,"(0.665, 0.998]",0.0
391,20,"(0.665, 0.998]",0.05452324857786339
392,20,"(0.665, 0.998]",0.09763708944972789
393,20,"(0.333, 0.665]",0.02204186523817291
394,20,"(0.333, 0.665]",0.05432834677564408
395,20,"(0.333, 0.665]",0.05436601861887871
396,20,"(-0.000964, 0.333]",0.10557636588731775
397,20,"(-0.000964, 0.333]",0.09889606574789139
398,20,"(-0.000964, 0.333]",0.008294908104582695
399,20,"(-0.000964, 0.333]",0.020501270663007214
400,20,"(-0.000964, 0.333]",0.14982597784654822
401,20,"(-0.000964, 0.333]",0.15204975147835337
402,20,"(-0.000964, 0.333]",0.1592374417114315
403,20,"(-0.000964, 0.333]",0.1508418716906289
404,20,"(-0.000964, 0.333]",0.11999336825489022
405,20,"(-0.000964, 0.333]",0.07945097297398203
406,20,"(-0.000964, 0.333]",0.03597386913807142
407,20,"(-0.000964, 0.333]",0.13360539187906253
408,20,"(-0.000964, 0.333]",0.01891527284593262
409,20,"(-0.000964, 0.333]",0.01987207275810874
410,20,"(-0.000964, 0.333]",0.019683886459275993
411,20,"(-0.000964, 0.333]",0.019690418593288336
412,20,"(0.665, 0.998]",0.005226779656725991
413,20,"(0.665, 0.998]",0.41141428623925647
414,20,"(-0.000964, 0.333]",0.03865307241404464
415,20,"(-0.000964, 0.333]",0.006530564746184731
416,20,"(-0.000964, 0.333]",0.012609481195736011
417,20,"(-0.000964, 0.333]",0.0
418,20,"(-0.000964, 0.333]",0.0017996855727221406
419,20,"(-0.000964, 0.333]",0.0017963939661857318
420,20,"(0.665, 0.998]",0.0004188490752673669
421,20,"(0.665, 0.998]",0.0004188490752673669
422,20,"(0.665, 0.998]",0.0
423,20,"(0.665, 0.998]",0.0
424,20,"(0.333, 0.665]",0.0
425,20,"(0.333, 0.665]",0.010490076263428667
426,20,"(0.333, 0.665]",0.0059014298622852256
427,20,"(0.333, 0.665]",0.006911443765156896
428,20,"(0.665, 0.998]",0.10834389456271545
429,20,"(0.665, 0.998]",0.07269287560479766
430,20,"(-0.000964, 0.333]",0.12429217384563244
431,20,"(-0.000964, 0.333]",0.11301134424252854
432,20,"(-0.000964, 0.333]",0.053000525045677746
433,20,"(-0.000964, 0.333]",0.13766874353863026
434,20,"(-0.000964, 0.333]",0.20664536150725202
435,20,"(-0.000964, 0.333]",0.17175358881099684
436,20,"(0.665, 0.998]",0.0
437,20,"(0.665, 0.998]",0.007011215602508415
438,20,"(0.665, 0.998]",1.741417795231643e-08
439,20,"(-0.000964, 0.333]",0.0012359894057143593
440,20,"(-0.000964, 0.333]",0.053100587519140034
441,20,"(-0.000964, 0.333]",0.053100587519140034
442,20,"(-0.000964, 0.333]",0.052594447148612805
443,20,"(-0.000964, 0.333]",0.052594447148612805
444,20,"(0.665, 0.998]",0.12420163945538319
445,20,"(0.665, 0.998]",0.05470948761334982
446,20,"(0.665, 0.998]",0.06789959891143924
447,20,"(0.333, 0.665]",0.08001029519560582
448,20,"(-0.000964, 0.333]",0.006033366962616092
449,20,"(-0.000964, 0.333]",0.0026112192493130877
450,20,"(-0.000964, 0.333]",0.0063216049072168925
451,20,"(-0.000964, 0.333]",0.009248445990278433
452,20,"(0.665, 0.998]",0.2770248334379306
453,20,"(0.333, 0.665]",0.15973831368749047
454,20,"(0.333, 0.665]",0.03572393888784169
455,20,"(0.333, 0.665]",0.10917036530169001
456,20,"(0.333, 0.665]",0.07336286673011394
457,20,"(-0.000964, 0.333]",0.020433667972645408
458,20,"(-0.000964, 0.333]",7.967526310606681e-05
459,20,"(-0.000964, 0.333]",7.967526311007904e-05
460,20,"(-0.000964, 0.333]",0.37156248745433257
461,20,"(-0.000964, 0.333]",0.09067827249894996
462,20,"(-0.000964, 0.333]",0.01339822837114905
463,20,"(-0.000964, 0.333]",0.08996729790365468
464,20,"(-0.000964, 0.333]",0.3015961222900664
465,20,"(-0.000964, 0.333]",0.010793258088054055
466,20,"(-0.000964, 0.333]",0.03873622356096596
467,20,"(-0.000964, 0.333]",0.038758612463321226
468,20,"(0.665, 0.998]",0.035515087081016916
469,20,"(0.333, 0.665]",0.014149945670329633
470,20,"(0.333, 0.665]",0.03804858924302102
471,20,"(-0.000964, 0.333]",0.07488983268077197
472,20,"(-0.000964, 0.333]",0.1796198620666176
473,20,"(-0.000964, 0.333]",0.16750546811692926
474,20,"(-0.000964, 0.333]",0.016404991340523898
475,20,"(-0.000964, 0.333]",0.0165463177541226
476,20,"(0.665, 0.998]",0.0042508874171061205
477,20,"(0.665, 0.998]",0.09109561593900496
478,20,"(0.333, 0.665]",0.17774647624984702
479,20,"(0.333, 0.665]",0.1182598742288013
480,20,"(-0.000964, 0.333]",0.07075710580710068
481,20,"(-0.000964, 0.333]",0.05556253580822467
482,20,"(-0.000964, 0.333]",0.04916946828434167
483,20,"(-0.000964, 0.333]",0.04752390891230528
484,20,"(0.665, 0.998]",0.024332725320583243
485,20,"(0.665, 0.998]",0.019536080388477498
486,20,"(0.665, 0.998]",0.0
487,20,"(-0.000964, 0.333]",0.0
488,20,"(-0.000964, 0.333]",0.0
489,20,"(-0.000964, 0.333]",0.0
490,20,"(-0.000964, 0.333]",0.0
491,20,"(-0.000964, 0.333]",0.0
492,20,"(0.333, 0.665]",0.48770947618929367
493,20,"(-0.000964, 0.333]",0.5454855632138335
494,20,"(-0.000964, 0.333]",0.0017569281732108585
495,20,"(-0.000964, 0.333]",0.6340111192929014
496,20,"(-0.000964, 0.333]",0.6422018904743643
497,20,"(-0.000964, 0.333]",0.6422018904743643
498,20,"(-0.000964, 0.333]",0.09728028815162615
499,20,"(-0.000964, 0.333]",0.0974089501077178
500,20,"(-0.000964, 0.333]",0.0
501,20,"(-0.000964, 0.333]",0.0011570881611308549
502,20,"(-0.000964, 0.333]",0.07875757005242584
503,20,"(-0.000964, 0.333]",0.00046793020787261417
504,20,"(-0.000964, 0.333]",0.12857008946406423
505,20,"(-0.000964, 0.333]",0.0014494865723428734
506,20,"(-0.000964, 0.333]",0.0034224144926076707
507,20,"(-0.000964, 0.333]",0.032188835973834394
508,20,"(-0.000964, 0.333]",0.48179835067511223
509,20,"(-0.000964, 0.333]",0.08424186967457475
510,20,"(-0.000964, 0.333]",0.014705894129063547
511,20,"(-0.000964, 0.333]",0.00033732417489180705
512,20,"(-0.000964, 0.333]",0.011051863324860568
513,20,"(-0.000964, 0.333]",0.01081755786763946
514,20,"(0.333, 0.665]",0.0
515,20,"(-0.000964, 0.333]",0.18080222589764158
516,20,"(-0.000964, 0.333]",0.013193516082328886
517,20,"(-0.000964, 0.333]",0.17590447647363766
518,20,"(-0.000964, 0.333]",0.0
519,20,"(-0.000964, 0.333]",0.0
520,20,"(0.333, 0.665]",0.0
521,20,"(-0.000964, 0.333]",0.0
522,20,"(-0.000964, 0.333]",0.06501047060854749
523,20,"(-0.000964, 0.333]",0.17568530781281747
524,20,"(-0.000964, 0.333]",0.0011448995957489996
525,20,"(-0.000964, 0.333]",0.24897780264088856
526,20,"(-0.000964, 0.333]",0.004759827947643525
