,n,range,value
212,10,"(-0.000964, 0.333]",0.07569406670890483
213,10,"(-0.000964, 0.333]",0.07569406670890483
214,10,"(0.665, 0.998]",0.2981893041973643
215,10,"(0.665, 0.998]",0.07560536738325657
216,10,"(-0.000964, 0.333]",0.14637319391000783
217,10,"(-0.000964, 0.333]",0.36219570244418814
218,10,"(-0.000964, 0.333]",0.2665630303378991
219,10,"(-0.000964, 0.333]",0.3017565544922633
220,10,"(-0.000964, 0.333]",0.4231385770533717
221,10,"(-0.000964, 0.333]",0.4424150035812644
222,10,"(0.333, 0.665]",0.20833619358778968
223,10,"(-0.000964, 0.333]",0.1663207284647129
224,10,"(-0.000964, 0.333]",0.06580539567441027
225,10,"(-0.000964, 0.333]",0.06485316737476395
226,10,"(-0.000964, 0.333]",0.07054572311647157
227,10,"(-0.000964, 0.333]",0.0614911361482253
228,10,"(-0.000964, 0.333]",0.048135425837051216
229,10,"(-0.000964, 0.333]",0.045302423847776906
230,10,"(0.665, 0.998]",0.10490442254284135
231,10,"(0.665, 0.998]",0.01802751019353492
232,10,"(0.665, 0.998]",0.015820885535568614
233,10,"(0.665, 0.998]",0.09655083421000674
234,10,"(0.665, 0.998]",0.03587049186924672
235,10,"(-0.000964, 0.333]",0.00040901248448149685
236,10,"(-0.000964, 0.333]",0.0004090124844814969
237,10,"(-0.000964, 0.333]",0.00040901248448149685
238,10,"(0.333, 0.665]",0.0011774685577741791
239,10,"(0.333, 0.665]",0.18714983898426948
240,10,"(0.333, 0.665]",0.14481901811057088
241,10,"(0.333, 0.665]",0.02687979133186958
242,10,"(0.333, 0.665]",0.022704486930625423
243,10,"(0.333, 0.665]",0.017137390708378216
244,10,"(0.333, 0.665]",0.08635100087619658
245,10,"(-0.000964, 0.333]",0.0321546653340986
246,10,"(0.333, 0.665]",0.1451307330805033
247,10,"(-0.000964, 0.333]",0.04632831066299045
248,10,"(-0.000964, 0.333]",0.019548204213668215
249,10,"(-0.000964, 0.333]",0.04269083825419741
250,10,"(-0.000964, 0.333]",0.01713675679509242
251,10,"(-0.000964, 0.333]",0.02412581488114927
252,10,"(-0.000964, 0.333]",0.023878681062985366
