,ps1_disc,error_diff
234,"(0.201, 0.401]",0.6232491890005546
235,"(0.401, 0.6]",0.6247447898747992
236,"(0.401, 0.6]",0.6159204760965028
237,"(0.8, 1.0]",0.5053359693644925
238,"(0.8, 1.0]",0.6787994923760873
239,"(0.8, 1.0]",0.6776851706474598
240,"(0.8, 1.0]",0.15071073473606514
245,"(1e-06, 0.201]",0.4748803272542863
246,"(0.201, 0.401]",0.46807623109730745
247,"(0.201, 0.401]",0.4268280763355186
248,"(0.401, 0.6]",0.493140854139808
249,"(0.401, 0.6]",0.4890142463283638
250,"(0.6, 0.8]",0.11682250023549542
251,"(0.8, 1.0]",0.040202307049860955
267,"(0.201, 0.401]",0.23924066272888775
268,"(0.401, 0.6]",0.002998139147836188
269,"(0.401, 0.6]",0.0015087846114213547
270,"(0.401, 0.6]",0.0016908711429174446
271,"(0.6, 0.8]",0.004966815970634991
272,"(0.6, 0.8]",0.006510194978714104
273,"(0.8, 1.0]",0.006510194978714104
278,"(1e-06, 0.201]",0.5170089229256903
279,"(1e-06, 0.201]",0.4911085198194217
280,"(0.8, 1.0]",0.5113830179813219
281,"(0.8, 1.0]",0.469021115246541
282,"(0.8, 1.0]",0.469021115246541
283,"(0.8, 1.0]",0.469021115246541
284,"(0.8, 1.0]",0.4703391952927255
289,"(1e-06, 0.201]",0.5993584574583894
290,"(1e-06, 0.201]",0.5977070120914355
291,"(1e-06, 0.201]",0.6097330777627168
292,"(1e-06, 0.201]",0.686847204832223
293,"(0.201, 0.401]",0.9305604852605069
294,"(0.6, 0.8]",0.7599869318952414
295,"(0.6, 0.8]",0.4854291120127539
300,"(0.401, 0.6]",0.6288305569289845
301,"(0.401, 0.6]",0.45879297302543076
302,"(0.401, 0.6]",0.13274290354409968
303,"(0.8, 1.0]",0.12788809491543218
304,"(0.8, 1.0]",0.2634347723019633
305,"(0.8, 1.0]",0.07601245281414146
306,"(0.8, 1.0]",0.08277852819136537
344,"(1e-06, 0.201]",0.6158484356874264
345,"(1e-06, 0.201]",0.5729974946128396
346,"(1e-06, 0.201]",0.573820829047947
347,"(0.201, 0.401]",0.5883948337267764
348,"(0.201, 0.401]",0.591413010055713
349,"(0.8, 1.0]",3.365924011722161e-05
350,"(0.8, 1.0]",3.365924011722161e-05
366,"(1e-06, 0.201]",0.3973563002618668
367,"(0.401, 0.6]",0.39802663012192036
368,"(0.401, 0.6]",0.4106143823889757
369,"(0.401, 0.6]",0.409000819101176
370,"(0.401, 0.6]",0.4019933893321362
371,"(0.401, 0.6]",0.47670524507802386
372,"(0.8, 1.0]",0.4302104735488378
377,"(1e-06, 0.201]",0.42643222310779705
378,"(0.401, 0.6]",0.22232497352270833
379,"(0.401, 0.6]",0.15679487333399117
380,"(0.6, 0.8]",0.24177111591215092
381,"(0.6, 0.8]",0.03367698412429952
382,"(0.8, 1.0]",0.0024134148971063107
383,"(0.8, 1.0]",0.004516282714206101
