,N,dovar,obsvar,target,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
27,20,0,-1,1,4936,6,CCALPeps,6870.419199999999,6863.3564,0.022016000319576054,0.022030192061485803,0.1779698079385142,0.17798399968042394
28,20,0,-1,1,6170,6,CVE,17177.286,17176.5614,0.024000001150673824,0.024000001150673824,0.17599999884932616,0.17599999884932616
29,20,0,-1,1,6170,6,CCALPeps,7351.5944,7345.6036,0.024012802340632532,0.02401519562265076,0.17598480437734926,0.1759871976593675
30,20,0,-1,1,7404,6,CVE,16429.12,16428.417999999998,0.19800000009894408,0.19800000009894408,0.001999999901055926,0.001999999901055926
31,20,0,-1,1,7404,6,CCALPeps,7003.1208000000015,6996.134,0.1899838037332188,0.19995900430199148,4.0995698008505775e-05,0.010016196266781208
32,20,0,-1,1,8638,6,CVE,16204.391,16203.596599999999,0.014000000000000002,0.014000000000000002,0.186,0.186
33,20,0,-1,1,8638,6,CCALPeps,7219.179800000001,7212.8914,0.01401720027957207,0.014023394421081853,0.18597660557891815,0.18598279972042792
34,20,0,-1,1,9872,6,CVE,16508.254200000003,16507.5524,0.011999999999999993,0.011999999999999993,0.188,0.188
35,20,0,-1,1,9872,6,CCALPeps,6258.6269999999995,6252.138400000001,0.006041993160747909,0.04400359916033199,0.155996400839668,0.19395800683925207
36,20,0,-1,1,11106,6,CVE,16594.4182,16593.555,0.018000000000000006,0.018000000000000006,0.182,0.182
37,20,0,-1,1,11106,6,CCALPeps,6988.938399999999,6982.805200000001,0.016051188001887713,0.1759432139977683,0.02405678600223169,0.18394881199811228
38,20,0,-1,1,12340,6,CVE,16448.5214,16447.8096,0.07800000018430979,0.07800000018430979,0.12199999981569021,0.12199999981569021
39,20,0,-1,1,12340,6,CCALPeps,8191.600199999999,8185.452,0.06004758948368958,0.11597680450769285,0.08402319549230716,0.1399524105163104
40,21,0,-1,,1234,6,CVE,,,,,,
41,21,0,-1,,1234,6,CCALPeps,6997.003200000001,6990.716399999999,0.1028245745136374,0.10282468115035823,0.09717531884964177,0.0971754254863626
42,21,0,-1,,2468,6,CVE,,,,,,
43,21,0,-1,,2468,6,CCALPeps,6713.498799999999,6706.8992,0.03381447850409437,0.033816057114599715,0.16618394288540028,0.16618552149590562
44,21,0,-1,,3702,6,CVE,,,,,,
45,21,0,-1,,3702,6,CCALPeps,8331.188999999998,8323.753999999999,0.11710625207450916,0.1171179557526191,0.08288204424738091,0.08289374792549084
