,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
79,5,0,-1,8638,CCVE,141.0042,8.078999999999999,0.0,0.0,0.013901827302042289,0.013901827302042289,0.18609817269795775,0.18609817269795775
80,5,0,-1,8638,CCALPeps,908.7914000000001,904.7846,4.4504470151196986e-05,4.450447015119704e-05,0.013930889154534429,0.013930889154534448,0.18602460637531434,0.18602460637531437
81,5,0,-1,9872,CVE,3.8278000000000008,3.1972,0.0012787221935154722,0.0012787221935154722,0.04409727445760594,0.04409727445760594,0.15462400334887857,0.15462400334887857
82,5,0,-1,9872,CCVE,141.3112,8.1668,0.0012787221935154727,0.0012787221935154727,0.04409727445760596,0.04409727445760596,0.15462400334887863,0.15462400334887863
83,5,0,-1,9872,CCALPeps,1145.7833999999998,1141.9356,0.0013049617551142108,0.0013049617551142126,0.044107013099808405,0.044107013099808454,0.15458802514507733,0.15458802514507738
84,5,0,-1,11106,CVE,3.8686000000000007,3.2512,0.14089299026973573,0.14089299026973573,0.028341760563652306,0.028341760563652306,0.030765249166611948,0.030765249166611948
85,5,0,-1,11106,CCVE,144.43339999999998,10.1932,0.14089299026973576,0.14089299026973576,0.028341760563652306,0.028341760563652306,0.030765249166611948,0.030765249166611948
86,5,0,-1,11106,CCALPeps,863.7529999999999,860.1229999999999,0.140852551622607,0.14085255162260707,0.02835366776133691,0.028353667761336954,0.030793780616055998,0.03079378061605606
87,5,0,-1,12340,CVE,4.095999999999999,3.426799999999999,0.041672782169291094,0.041672782169291094,0.01230648802409858,0.01230648802409858,0.14602072980661035,0.14602072980661035
88,5,0,-1,12340,CCVE,142.38060000000002,8.4726,0.041672782169291094,0.041672782169291094,0.012306488024098573,0.012306488024098573,0.14602072980661035,0.14602072980661035
89,5,0,-1,12340,CCALPeps,725.1272,721.385,0.0416874546647577,0.04168745466475772,0.012331120207730794,0.01233112020773082,0.14598142512751147,0.1459814251275115
90,6,0,-1,1234,CVE,4.4159999999999995,3.6912000000000007,0.006007730421232036,0.006007730421232036,0.19399226957876797,0.19399226957876797,,
91,6,0,-1,1234,CCVE,173.6034,17.6904,0.006007730421232036,0.006007730421232036,0.19399226957876797,0.19399226957876797,,
92,6,0,-1,1234,CCALPeps,900.3338,895.9333999999999,0.006022011229655969,0.006022011229655979,0.19397798877034403,0.19397798877034403,,
93,6,0,-1,2468,CVE,4.7198,4.0158,0.03338728119441274,0.03338728119441274,0.16661271880558726,0.16661271880558726,,
94,6,0,-1,2468,CCVE,181.19379999999998,15.798399999999997,0.03338728119441276,0.03338728119441276,0.16661271880558723,0.16661271880558723,,
95,6,0,-1,2468,CCALPeps,884.9694,880.86,0.03344500974656154,0.03344500974656157,0.16655499025343842,0.16655499025343845,,
