,N,dovar,obsvar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
145,5,0,-1,11106,6,CCVE,183.4968,99.7546,0.08797122856592382,0.14286393156977667,0.05713606843022333,0.1120287714340762
146,5,0,-1,11106,6,CCALPeps,848.1351999999997,845.0871999999997,0.0938699734732776,0.13435776752338274,0.06564223247661723,0.1061300265267224
147,5,0,-1,12340,6,CVE,3.181,2.6786000000000003,0.10750022618293677,0.10750022618293677,0.09249977381706326,0.09249977381706326
148,5,0,-1,12340,6,CCVE,133.1444,27.0828,0.07611966107556628,0.12340425531914892,0.07659574468085108,0.12388033892443365
149,5,0,-1,12340,6,CCALPeps,812.8222,809.6439999999999,0.07614679418487832,0.12335970574424525,0.07664029425575472,0.12385320581512167
180,6,0,-1,1234,6,CVE,3.6316,3.0668,0.004262341458814654,0.004262341458814654,0.19573765854118536,0.19573765854118536
181,6,0,-1,1234,6,CCVE,91.1734,11.2534,0.004262341458814654,0.004262341458814654,0.19573765854118536,0.19573765854118536
182,6,0,-1,1234,6,CCALPeps,863.7252000000003,860.0812,0.00427893108317924,0.004286090310297616,0.1957139096897024,0.1957210689168208
183,6,0,-1,2468,6,CVE,3.3508,2.835,0.03932974634896234,0.03932974634896234,0.16067025365103765,0.16067025365103765
184,6,0,-1,2468,6,CCVE,90.7664,11.4114,0.03932974634896234,0.03932974634896234,0.16067025365103765,0.16067025365103765
185,6,0,-1,2468,6,CCALPeps,881.2548,877.7558000000001,0.03936205549226271,0.039365385512015225,0.16063461448798474,0.1606379445077373
186,6,0,-1,3702,6,CVE,3.2928,2.8036000000000003,0.16616182627707504,0.16616182627707504,0.03383817372292495,0.03383817372292495
187,6,0,-1,3702,6,CCVE,102.3842,16.070999999999998,0.16289619695347587,0.16630174084661611,0.033698259153383904,0.037103803046524136
188,6,0,-1,3702,6,CCALPeps,887.2189999999998,883.7858,0.16287241492508678,0.16627450430552976,0.03372549569447023,0.03712758507491322
189,6,0,-1,4936,6,CVE,3.5128,2.9384,0.1973206989754228,0.1973206989754228,0.0026793010245772827,0.0026793010245772827
190,6,0,-1,4936,6,CCVE,100.5756,12.491400000000002,0.1973206989754228,0.1973206989754228,0.002679301024577284,0.002679301024577284
191,6,0,-1,4936,6,CCALPeps,987.8454,984.426,0.1973063925679919,0.19730815834219093,0.0026918416578090238,0.0026936074320081014
192,6,0,-1,6170,6,CVE,3.4474,2.925,0.13628077349007578,0.13628077349007578,0.0637192265099242,0.0637192265099242
193,6,0,-1,6170,6,CCVE,101.7744,16.1552,0.13628077349007578,0.13628077349007578,0.06371922650992419,0.06371922650992419
194,6,0,-1,6170,6,CCALPeps,933.215,929.1662,0.13627302419739273,0.13628188109950395,0.06371811890049606,0.06372697580260726
195,6,0,-1,7404,6,CVE,3.486,2.942,0.1992148024282962,0.1992148024282962,0.000785197571703806,0.000785197571703806
196,6,0,-1,7404,6,CCVE,,,,,,
197,6,0,-1,7404,6,CCALPeps,743.1744,739.8258,0.1960344773581668,0.19994334160956068,5.6658390439343724e-05,0.003965522641833208
198,6,0,-1,8638,6,CVE,3.215,2.76,0.0506967174787244,0.0506967174787244,0.1493032825212756,0.1493032825212756
