,N,dovar,obsvar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
308,8,0,-1,3702,6,CCALPeps,1968.5479999999998,1964.3422,0.12807628168019153,0.12807628168019167,0.07192371831980833,0.07192371831980847
309,8,0,-1,4936,6,CVE,53.8916,53.2284,0.03217779051157707,0.03217779051157707,0.16782220948842294,0.16782220948842294
310,8,0,-1,4936,6,CCVE,3076.9926,2880.2758,0.032177790511577084,0.032177790511577084,0.1678222094884229,0.1678222094884229
311,8,0,-1,4936,6,CCALPeps,2388.7663999999995,2384.656,0.032187159385421764,0.03218715938542181,0.16781284061457818,0.16781284061457824
312,8,0,-1,6170,6,CVE,55.2158,54.57860000000001,0.02157563935847421,0.02157563935847421,0.17842436064152578,0.17842436064152578
313,8,0,-1,6170,6,CCVE,3173.1164,2990.0074,0.021575639358474216,0.021575639358474216,0.17842436064152584,0.17842436064152584
314,8,0,-1,6170,6,CCALPeps,1834.1918,1830.0768,0.021591446566938254,0.0215914465669383,0.1784085534330617,0.17840855343306175
315,8,0,-1,7404,6,CVE,52.6266,51.90040000000001,0.09360511540829906,0.09360511540829906,0.10639488459170096,0.10639488459170096
316,8,0,-1,7404,6,CCVE,3416.0478000000007,3224.4074,0.09360511540829906,0.09360511540829906,0.10639488459170096,0.10639488459170096
317,8,0,-1,7404,6,CCALPeps,2129.0714,2124.4804,0.0936076449264639,0.09360764492646398,0.10639235507353602,0.1063923550735361
318,8,0,-1,8638,6,CVE,53.7454,53.03320000000001,0.18404198804672087,0.18404198804672087,0.015958011953279096,0.015958011953279096
319,8,0,-1,8638,6,CCVE,3239.4429999999998,3038.0976,0.18404198804672087,0.18404198804672087,0.015958011953279092,0.015958011953279092
320,8,0,-1,8638,6,CCALPeps,2231.1096,2227.0376,0.18402629149724334,0.18402629149724334,0.015973708502756638,0.015973708502756655
321,8,0,-1,9872,6,CVE,57.915,57.25359999999999,0.07013547169130324,0.07013547169130324,0.12986452830869674,0.12986452830869674
322,8,0,-1,9872,6,CCVE,3651.4834,3467.902800000001,0.07013547169130327,0.07013547169130327,0.12986452830869674,0.12986452830869674
323,8,0,-1,9872,6,CCALPeps,2035.9776,2031.3508,0.0701361429922263,0.07013614299222644,0.12986385700777356,0.1298638570077737
324,8,0,-1,11106,6,CVE,57.9726,57.33240000000001,0.07289420908857742,0.07289420908857742,0.12710579091142254,0.12710579091142254
325,8,0,-1,11106,6,CCVE,3166.446800000001,2996.6912,0.07289420908857744,0.07289420908857744,0.12710579091142254,0.12710579091142254
326,8,0,-1,11106,6,CCALPeps,2219.4192000000007,2215.145400000001,0.07292009489701456,0.07292009489701473,0.12707990510298528,0.12707990510298545
327,8,0,-1,12340,6,CVE,55.46619999999999,54.7674,0.1906000944837216,0.1906000944837216,0.009399905516278416,0.009399905516278416
