,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
26,3,0,11106,6,CCALPeps,1955.364,1936.4650000000001,0.08843361143098495,0.08843361143098512,0.9115663885690148,0.9115663885690151,4.0,2.0
27,3,0,12340,6,CVE,14.537799999999999,12.304,0.6372730753569106,0.6372730753569106,0.3627269246430895,0.3627269246430895,4.0,2.0
28,3,0,12340,6,CCVE,580.2833999999999,91.4388,0.6372730753569106,0.6372730753569106,0.3627269246430894,0.3627269246430894,4.0,2.0
29,3,0,12340,6,CCALPeps,1865.0968,1850.5643999999998,0.6371500917178641,0.6371897732980785,0.36281022670192153,0.3628499082821359,4.0,2.0
30,4,0,1234,6,CVE,21.634999999999998,14.654599999999999,0.912217001965444,0.912217001965444,0.087782998034556,0.087782998034556,6.0,2.0
31,4,0,1234,6,CCVE,708.9242,170.22199999999998,0.912217001965444,0.912217001965444,0.087782998034556,0.087782998034556,6.0,2.0
32,4,0,1234,6,CCALPeps,3361.184,3340.3986000000004,0.9120537199931634,0.9120582471855491,0.08794175281445098,0.08794628000683657,6.0,2.0
33,4,0,2468,6,CVE,17.1304,15.2578,0.9131659949349038,0.9131659949349038,0.08683400506509618,0.08683400506509618,6.0,2.0
34,4,0,2468,6,CCVE,776.8552,209.47660000000002,0.9131659949349038,0.9131659949349038,0.08683400506509621,0.08683400506509621,6.0,2.0
35,4,0,2468,6,CCALPeps,3267.817,3245.4036,0.9130786861652315,0.9130786861652316,0.08692131383476842,0.08692131383476853,6.0,2.0
36,4,0,3702,6,CVE,21.458599999999997,18.258,0.040127399333171145,0.040127399333171145,0.9598726006668288,0.9598726006668288,6.0,2.0
37,4,0,3702,6,CCVE,703.6322,194.35520000000002,0.04012739933317114,0.04012739933317114,0.9598726006668288,0.9598726006668288,6.0,2.0
38,4,0,3702,6,CCALPeps,3626.1066000000005,3601.7056,0.04028934079030513,0.040289340790305175,0.9597106592096948,0.9597106592096949,6.0,2.0
39,4,0,4936,6,CVE,21.425600000000003,16.5516,0.3661901677632174,0.3661901677632174,0.6338098322367827,0.6338098322367827,6.0,2.0
40,4,0,4936,6,CCVE,,,,,,,6.0,2.0
41,4,0,4936,6,CCALPeps,3213.2093999999997,3193.6962,0.3504222576213404,0.8798806977944269,0.1201193022055731,0.6495777423786596,6.0,2.0
42,4,0,6170,6,CVE,18.1276,16.012999999999998,0.24301572367847268,0.24301572367847268,0.7569842763215273,0.7569842763215273,6.0,2.0
43,4,0,6170,6,CCVE,721.3489999999999,195.58859999999999,0.2430157236784727,0.2430157236784727,0.7569842763215273,0.7569842763215273,6.0,2.0
44,4,0,6170,6,CCALPeps,3458.507,3438.9286,0.2431330682171661,0.2431389108946007,0.7568610891053993,0.7568669317828339,6.0,2.0
45,4,0,7404,6,CVE,25.995599999999996,23.6038,0.7665948715014614,0.7665948715014614,0.23340512849853853,0.23340512849853853,6.0,2.0
46,4,0,7404,6,CCVE,780.7371999999999,230.5398,0.7665948715014614,0.7665948715014614,0.23340512849853864,0.23340512849853864,6.0,2.0
47,4,0,7404,6,CCALPeps,3399.0701999999997,3380.4036,0.7665509065969516,0.7665509065969519,0.2334490934030481,0.2334490934030484,6.0,2.0
48,4,0,8638,6,CVE,23.8892,21.3598,0.8228877250673812,0.8228877250673812,0.17711227493261875,0.17711227493261875,6.0,2.0
49,4,0,8638,6,CCVE,770.3642,192.0,0.8228877250673812,0.8228877250673812,0.1771122749326188,0.1771122749326188,6.0,2.0
50,4,0,8638,6,CCALPeps,3295.6944000000003,3279.4468,0.8228320224375147,0.822832022437515,0.17716797756248504,0.17716797756248526,6.0,2.0
51,4,0,9872,6,CVE,20.011000000000003,16.887399999999996,0.8320964717308023,0.8320964717308023,0.1679035282691978,0.1679035282691978,6.0,2.0
52,4,0,9872,6,CCVE,727.1795999999999,227.744,0.8320964717308023,0.8320964717308023,0.1679035282691978,0.1679035282691978,6.0,2.0
53,4,0,9872,6,CCALPeps,3113.2778,3094.7848,0.8319209358118838,0.831920935811884,0.16807906418811602,0.16807906418811625,6.0,2.0
