,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
39,5,0,-1,4936,CVE,3.5450000000000004,3.0634,0.08214440121054908,0.08214440121054908,0.11770428015564202,0.11770428015564202,0.00015131863380890621,0.00015131863380890621
40,5,0,-1,4936,CCVE,94.0034,12.4986,0.08214440121054908,0.08214440121054908,0.11770428015564202,0.11770428015564202,0.00015131863380890624,0.00015131863380890624
41,5,0,-1,4936,CCALPeps,2124.1406,2120.827,0.0821400323611225,0.0821481536399212,0.11767766085300461,0.11768726608190612,0.00017270155697137948,0.00017418550707418493
42,5,0,-1,6170,CVE,3.6099999999999994,3.134,0.10918067978533094,0.10918067978533094,0.0541824686940966,0.0541824686940966,0.036636851520572444,0.036636851520572444
43,5,0,-1,6170,CCVE,92.8198,10.365,0.10918067978533094,0.10918067978533094,0.0541824686940966,0.0541824686940966,0.03663685152057245,0.03663685152057245
44,5,0,-1,6170,CCALPeps,1850.0412000000001,1846.6970000000001,0.10916518879254164,0.10916695944499148,0.05418288446852702,0.054184655870261014,0.03664838468474753,0.036651926738931265
45,5,0,-1,7404,CVE,3.3578,2.9189999999999996,0.10238528927053517,0.10238528927053517,0.01164021164021164,0.01164021164021164,0.0859744990892532,0.0859744990892532
46,5,0,-1,7404,CCVE,95.45139999999999,10.1994,0.10238528927053518,0.10238528927053518,0.01164021164021164,0.01164021164021164,0.0859744990892532,0.0859744990892532
47,5,0,-1,7404,CCALPeps,1681.1628,1677.8403999999998,0.10237415643437853,0.10237426554987059,0.011657886490568148,0.011657940090728633,0.08596779435940079,0.08596795707505332
48,5,0,-1,8638,CVE,3.4798,2.9634,0.021416498632481466,0.021416498632481466,0.015225433717310161,0.015225433717310161,0.16335806765020838,0.16335806765020838
49,5,0,-1,8638,CCVE,5454.0426,5367.4206,0.016502970231339197,0.02635633317137372,0.01225495164441972,0.018031877308876045,0.1613806507002788,0.1654770734157779
50,5,0,-1,8638,CCALPeps,2170.1574,2166.7706,0.020698126214553966,0.022217272212316674,0.012334259095821119,0.017946811060334182,0.16135506272511183,0.1654484686918623
51,5,0,-1,9872,CVE,3.5616000000000008,3.097,0.0005258033106134373,0.0005258033106134373,0.0341642323920805,0.0341642323920805,0.16530996429730607,0.16530996429730607
52,5,0,-1,9872,CCVE,93.1506,13.253200000000001,0.0005258033106134375,0.0005258033106134375,0.03416423239208051,0.03416423239208051,0.1653099642973061,0.1653099642973061
53,5,0,-1,9872,CCALPeps,1655.6583999999998,1652.3498,0.0005942814716545172,0.0005943395738389107,0.03417931273097849,0.03419593499070507,0.16520978353764038,0.16522634769518266
