,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
41,31,0,4936,6,CCALPeps,6750.5784,6697.753,0.15969321478585016,0.15972874945125265,0.04027125054874737,0.04030678521414983
42,31,0,6170,6,CVE,4044.7602000000006,4043.8998,0.15157786288312064,0.15157786288312064,0.04842213711687936,0.04842213711687936
43,31,0,6170,6,CCVE,,,,,,
44,31,0,6170,6,CCALPeps,5608.095599999999,5558.947,0.15156640954537764,0.1515664308661139,0.048433569133886106,0.048433590454622366
45,31,0,7404,6,CVE,3876.4,3875.4844000000003,0.0011199999999999997,0.0011199999999999997,0.19888,0.19888
46,31,0,7404,6,CCVE,,,,,,
47,31,0,7404,6,CCALPeps,6138.8082,6097.6666000000005,0.0011412996348320402,0.0011414112989865629,0.19885858870101342,0.19885870036516795
48,31,0,8638,6,CVE,4342.0182,4340.988399999999,0.07568,0.07568,0.12431999999999999,0.12431999999999999
49,31,0,8638,6,CCVE,,,,,,
50,31,0,8638,6,CCALPeps,5941.6456,5895.537200000001,0.07567536389730617,0.0756770359810637,0.12432296401893628,0.12432463610269381
51,31,0,9872,6,CVE,3597.8307999999997,3596.9847999999997,0.1432807680177864,0.1432807680177864,0.05671923198221364,0.05671923198221364
52,31,0,9872,6,CCVE,,,,,,
53,31,0,9872,6,CCALPeps,6306.2446,6254.9344,0.14324922858924521,0.14326088204740134,0.05673911795259867,0.0567507714107548
54,31,0,11106,6,CVE,4031.2354,4030.2941999999994,0.09753027520000002,0.09753027520000002,0.10246972480000001,0.10246972480000001
55,31,0,11106,6,CCVE,,,,,,
56,31,0,11106,6,CCALPeps,6801.220600000001,6757.2988,0.09752710494642289,0.09752810105176371,0.1024718989482363,0.10247289505357711
57,31,0,12340,6,CVE,3839.6432,3838.6953999999996,0.10799999999999998,0.10799999999999998,0.092,0.092
58,31,0,12340,6,CCVE,,,,,,
59,31,0,12340,6,CCALPeps,5507.744000000001,5446.911,0.10799840015998394,0.10799840015998405,0.09200159984001595,0.09200159984001605
60,32,0,1234,6,CVE,3377.2416,3376.3284,0.18176685014117105,0.18176685014117105,0.018233149858828943,0.018233149858828943
61,32,0,1234,6,CCVE,,,,,,
62,32,0,1234,6,CCALPeps,5852.269200000001,5804.3282,0.1817331173246902,0.1817334053772328,0.018266594622767206,0.0182668826753098
63,32,0,2468,6,CVE,3423.5806,3422.6684,0.024523725960835394,0.024523725960835394,0.1754762740391646,0.1754762740391646
64,32,0,2468,6,CCVE,,,,,,
65,32,0,2468,6,CCALPeps,6870.0864,6810.8262,0.024541512616461154,0.024541743145615323,0.17545825685438468,0.17545848738353884
66,32,0,3702,6,CVE,3621.4472,3620.5422,0.12639538207577963,0.12639538207577963,0.07360461792422038,0.07360461792422038
67,32,0,3702,6,CCVE,,,,,,
68,32,0,3702,6,CCALPeps,,,,,,
69,32,0,4936,6,CVE,3390.56,3389.6736000000005,0.06768,0.06768,0.13231999999999997,0.13231999999999997
70,32,0,4936,6,CCVE,,,,,,
71,32,0,4936,6,CCALPeps,5651.943000000001,5602.088400000001,0.06769398496489352,0.06769398496489364,0.13230601503510636,0.13230601503510647
72,32,0,6170,6,CVE,3489.2981999999997,3488.2038000000002,0.0714196216376315,0.0714196216376315,0.1285803783623685,0.1285803783623685
73,32,0,6170,6,CCVE,,,,,,
74,32,0,6170,6,CCALPeps,6754.962600000001,6704.3314,0.07143654467299983,0.07143663931550116,0.12856336068449883,0.12856345532700017
75,32,0,7404,6,CVE,3372.357,3371.5038,0.1048629257270121,0.1048629257270121,0.09513707427298788,0.09513707427298788
76,32,0,7404,6,CCVE,,,,,,
77,32,0,7404,6,CCALPeps,6329.119199999999,6280.2314,0.10487212402328025,0.1048837754649296,0.0951162245350704,0.09512787597671975
78,32,0,8638,6,CVE,3650.9945999999995,3650.0536,0.07959999999999999,0.07959999999999999,0.12040000000000002,0.12040000000000002
79,32,0,8638,6,CCVE,,,,,,
80,32,0,8638,6,CCALPeps,6497.742,6443.8712,0.07960935976742492,0.07961938323448851,0.12038061676551148,0.12039064023257509
81,32,0,9872,6,CVE,3602.2263999999996,3601.2816,0.08334612151488788,0.08334612151488788,0.1166538784851121,0.1166538784851121
82,32,0,9872,6,CCVE,,,,,,
83,32,0,9872,6,CCALPeps,5697.720600000001,5651.712600000001,0.08334640199927354,0.08334640200968081,0.1166535979903192,0.11665359800072646
84,32,0,11106,6,CVE,3228.5394,3227.6554,0.11538480508803561,0.11538480508803561,0.08461519491196437,0.08461519491196437
85,32,0,11106,6,CCVE,,,,,,
86,32,0,11106,6,CCALPeps,6415.9572,6366.4992,0.11537307435547757,0.11631028029588661,0.08368971970411339,0.08462692564452243
87,32,0,12340,6,CVE,3212.9886,3212.1092000000003,0.08699866768527299,0.08699866768527299,0.113001332314727,0.113001332314727
88,32,0,12340,6,CCVE,,,,,,
89,32,0,12340,6,CCALPeps,7840.539200000001,7785.7164,0.0869138768431008,0.08706688165481499,0.112933118345185,0.11308612315689918
90,33,0,1234,6,CVE,4158.045,4157.192000000001,0.1817611235519337,0.1817611235519337,0.018238876448066297,0.018238876448066297
91,33,0,1234,6,CCVE,,,,,,
92,33,0,1234,6,CCALPeps,5835.638399999999,5782.647800000001,0.1817273871434984,0.18172767532433184,0.01827232467566815,0.018272612856501613
93,33,0,2468,6,CVE,4426.5664,4425.5668000000005,0.024523458502013477,0.024523458502013477,0.17547654149798653,0.17547654149798653
94,33,0,2468,6,CCVE,,,,,,
95,33,0,2468,6,CCALPeps,6455.2832,6401.901199999999,0.024541245301450656,0.024541476060724342,0.17545852393927566,0.17545875469854935
96,33,0,3702,6,CVE,4213.266799999999,4212.4008,0.1264401726439467,0.1264401726439467,0.07355982735605332,0.07355982735605332
97,33,0,3702,6,CCVE,,,,,,
98,33,0,3702,6,CCALPeps,,,,,,
99,33,0,4936,6,CVE,3946.8972000000003,3945.9876000000004,0.06768000000000002,0.06768000000000002,0.13232,0.13232
100,33,0,4936,6,CCVE,,,,,,
101,33,0,4936,6,CCALPeps,5529.618,5476.392,0.06769398496489351,0.06769398496489364,0.13230601503510636,0.13230601503510647
102,33,0,6170,6,CVE,4047.1788,4046.2668,0.07171035255327311,0.07171035255327311,0.12828964744672688,0.12828964744672688
103,33,0,6170,6,CCVE,,,,,,
104,33,0,6170,6,CCALPeps,6354.011799999999,6305.887000000001,0.07172686948045102,0.07172697708174484,0.12827302291825515,0.12827313051954897
105,33,0,7404,6,CVE,3953.7184,3952.7760000000003,0.1048427241216728,0.1048427241216728,0.0951572758783272,0.0951572758783272
106,33,0,7404,6,CCVE,,,,,,
107,33,0,7404,6,CCALPeps,6203.023,6153.6038,0.10485197414008907,0.10486363250843715,0.09513636749156286,0.09514802585991093
108,33,0,8638,6,CVE,4126.0766,4125.1172,0.07959999999999998,0.07959999999999998,0.12040000000000002,0.12040000000000002
109,33,0,8638,6,CCVE,,,,,,
110,33,0,8638,6,CCALPeps,6555.570199999999,6499.2014,0.07960935976742493,0.0796193832344885,0.12038061676551151,0.12039064023257506
111,33,0,9872,6,CVE,4329.0586,4328.1184,0.08335069364691257,0.08335069364691257,0.11664930635308743,0.11664930635308743
112,33,0,9872,6,CCVE,,,,,,
113,33,0,9872,6,CCALPeps,5683.26,5629.5455999999995,0.08335095603584827,0.0833509560422365,0.1166490439577635,0.11664904396415172
